ZEIT;RAUM;Reason;WERT
2012;95 Hiltrup-Ost;Birth surplus or deficit;-16
2012;96 Hiltrup-Mitte;Birth surplus or deficit;-40
2012;97 Hiltrup-West;Birth surplus or deficit;23
2012;98 Amelsbueren;Birth surplus or deficit;-4
2013;11 Aegidii;Birth surplus or deficit;-20
2013;12 ueberwasser;Birth surplus or deficit;-1
2013;13 Dom;Birth surplus or deficit;3
2013;14 Buddenturm;Birth surplus or deficit;-23
2013;15 Martini;Birth surplus or deficit;-1
2013;21 Pluggendorf;Birth surplus or deficit;-31
2013;22 Josef;Birth surplus or deficit;65
2013;23 Bahnhof;Birth surplus or deficit;-6
2013;24 Hansaplatz;Birth surplus or deficit;21
2013;25 Mauritz-West;Birth surplus or deficit;22
2013;26 Schlachthof;Birth surplus or deficit;17
2013;27 Kreuz;Birth surplus or deficit;55
2013;28 Neutor;Birth surplus or deficit;6
2013;29 Schloss;Birth surplus or deficit;-2
2013;31 Aaseestadt;Birth surplus or deficit;-2
2013;32 Geist;Birth surplus or deficit;6
2013;33 Schuetzenhof;Birth surplus or deficit;41
2013;34 Dueesberg;Birth surplus or deficit;-30
2013;43 Hafen;Birth surplus or deficit;10
2013;44 Herz-Jesu;Birth surplus or deficit;-75
2013;45 Mauritz-Mitte;Birth surplus or deficit;20
2013;46 Rumphorst;Birth surplus or deficit;14
2013;47 Uppenberg;Birth surplus or deficit;26
2013;51 Gievenbeck;Birth surplus or deficit;87
2013;52 Sentrup;Birth surplus or deficit;-4
2013;54 Mecklenbeck;Birth surplus or deficit;2
2013;56 Albachten;Birth surplus or deficit;20
2013;57 Roxel;Birth surplus or deficit;8
2013;58 Nienberge;Birth surplus or deficit;7
2013;61 Coerde;Birth surplus or deficit;59
2013;62 Kinderhaus-Ost;Birth surplus or deficit;28
2013;63 Kinderhaus-West;Birth surplus or deficit;41
2013;68 Sprakel;Birth surplus or deficit;-2
2013;71 Mauritz-Ost;Birth surplus or deficit;16
2013;76 Gelmer-Dyckburg;Birth surplus or deficit;2
2013;77 Handorf;Birth surplus or deficit;-11
2013;81 Gremmendorf-West;Birth surplus or deficit;13
2013;82 Gremmendorf-Ost;Birth surplus or deficit;5
2013;86 Angelmodde;Birth surplus or deficit;4
2013;87 Wolbeck;Birth surplus or deficit;3
2013;91 Berg Fidel;Birth surplus or deficit;-30
2013;95 Hiltrup-Ost;Birth surplus or deficit;9
2013;96 Hiltrup-Mitte;Birth surplus or deficit;-30
2013;97 Hiltrup-West;Birth surplus or deficit;27
2013;98 Amelsbueren;Birth surplus or deficit;-22
2014;11 Aegidii;Birth surplus or deficit;-3
2014;12 ueberwasser;Birth surplus or deficit;-2
2014;13 Dom;Birth surplus or deficit;-1
2014;14 Buddenturm;Birth surplus or deficit;-32
2014;15 Martini;Birth surplus or deficit;9
2014;21 Pluggendorf;Birth surplus or deficit;-19
2014;22 Josef;Birth surplus or deficit;14
2014;23 Bahnhof;Birth surplus or deficit;3
2014;24 Hansaplatz;Birth surplus or deficit;36
2014;25 Mauritz-West;Birth surplus or deficit;34
2014;26 Schlachthof;Birth surplus or deficit;9
2014;27 Kreuz;Birth surplus or deficit;63
2014;28 Neutor;Birth surplus or deficit;12
2014;29 Schloss;Birth surplus or deficit;-15
2014;31 Aaseestadt;Birth surplus or deficit;-6
2014;32 Geist;Birth surplus or deficit;33
2014;33 Schuetzenhof;Birth surplus or deficit;18
2014;34 Dueesberg;Birth surplus or deficit;-30
2014;43 Hafen;Birth surplus or deficit;10
2014;44 Herz-Jesu;Birth surplus or deficit;-58
2014;45 Mauritz-Mitte;Birth surplus or deficit;25
2014;46 Rumphorst;Birth surplus or deficit;16
2014;47 Uppenberg;Birth surplus or deficit;17
2014;51 Gievenbeck;Birth surplus or deficit;81
2014;52 Sentrup;Birth surplus or deficit;13
2014;54 Mecklenbeck;Birth surplus or deficit;-28
2014;56 Albachten;Birth surplus or deficit;7
2014;57 Roxel;Birth surplus or deficit;45
2014;58 Nienberge;Birth surplus or deficit;9
2014;61 Coerde;Birth surplus or deficit;61
2014;62 Kinderhaus-Ost;Birth surplus or deficit;13
2014;63 Kinderhaus-West;Birth surplus or deficit;32
2014;68 Sprakel;Birth surplus or deficit;1
2014;71 Mauritz-Ost;Birth surplus or deficit;11
2014;76 Gelmer-Dyckburg;Birth surplus or deficit;10
2014;77 Handorf;Birth surplus or deficit;-14
2014;81 Gremmendorf-West;Birth surplus or deficit;10
2014;82 Gremmendorf-Ost;Birth surplus or deficit;1
2014;86 Angelmodde;Birth surplus or deficit;4
2014;87 Wolbeck;Birth surplus or deficit;-23
2014;91 Berg Fidel;Birth surplus or deficit;-20
2014;95 Hiltrup-Ost;Birth surplus or deficit;7
2014;96 Hiltrup-Mitte;Birth surplus or deficit;-37
2014;97 Hiltrup-West;Birth surplus or deficit;20
2014;98 Amelsbueren;Birth surplus or deficit;-13
2015;11 Aegidii;Birth surplus or deficit;-18
2015;12 ueberwasser;Birth surplus or deficit;0
